"Word","Token","Frequency"
"20m","49647","1"
"20mins","1479138207","1"
"20s","49653","12"
"20th","1539378","46"
"21","1599","26"
"2100","1538175","1"
"215","49622","1"
"2151","1538331","1"
"21st","1540320","29"
"22","1600","30"
"2200","1539136","1"
"221","49649","1"
"2210","1539167","1"
"22101","47714226","1"
"223","49651","1"
"2257","1539298","1"
"22h45","47767209","1"
"23","1601","22"
"233","49682","1"
"237","49686","4"
"23rd","1542195","1"
"24","1602","47"
"240","49710","1"
"241","49711","1"
"242","49712","2"
"24th","1543222","1"
"25","1603","87"
"250","49741","23"
"250000","1481881795","1"
"25mins","1483755812","1"
"25s","49808","1"
"25th","1544183","3"
"25yo","1544345","2"
"25yrs","47874903","1"
"26","1604","20"
"260","49772","1"
"2600","1542980","3"
"261k","1543070","1"
"262","49774","1"
"26th","1545144","2"
"27","1605","20"
"270","49803","1"
"28","1606","31"
"285","49839","1"
"28th","1547066","2"
"29","1607","11"
"29th","1548027","1"
"2am","51166","2"
"2d","1650","5"
"2fast","49311630","1"
"2furious","735396309","1"
"2h","1654","1"
"2hour","49384726","1"
"2hours","1530926621","1"
"2in","51415","1"
"2k","1657","1"
"2nd","51560","48"
"2pac","1600288","1"
"2point4","442756950","1"
"2s","1665","1"
"3","51","754"
"30","1629","246"
"300","50547","24"
"3000","1567005","43"
"300c","1567056","1"
"3012","1567038","1"
"30am","1568585","2"
"30ish","48634113","1"
"30min","48637653","1"
"30mins","1507767358","2"
"30pm","1569050","2"
"30s","50614","30"
"30something","1437162173","1"
"30th","1569169","4"
"31","1630","11"
"3199","1568254","1"
"31st","1570111","1"
"32","1631","9"
"32lb","1570837","1"
"33","1632","13"
"330am","48668156","1"
"34","1633","9"
"345","50676","7"
"34th","1573013","4"
"35","1634","40"
"350","50702","5"
"356","50708","1"
"357","50709","1"
"35c","50753","1"
"35mm","1573762","9"
"35th","1573974","1"
"36","1635","7"
"360","50733","8"
"37","1636","6"
"372","50766","1"
"38","1637","5"
"38k","50854","1"
"38th","1576857","2"
"39","1638","4"
"39th","1577818","1"
"3d","1681","29"
"3lbs","1626282","1"
"3m","1690","1"
"3mins","50451220","1"
"3p","1693","3"
"3p0","52531","1"
"3rd","52645","46"
"3rds","1632110","2"
"3yrs","1639271","1"
"4","52","557"
"40","1660","145"
"400","51508","14"
"4000","1596796","1"
"409","51517","2"
"40am","1598376","1"
"40min","49561174","1"
"40s","51575","31"
"40th","1598960","1"
"41","1661","4"
"42","1662","8"
"425","51575","1"
"428","51578","1"
"42nd","1600692","6"
"43","1663","6"
"430","51601","1"
"44","1664","14"
"440","51632","1"
"442nd","49623784","1"
"44c","51683","1"
"45","1665","42"
"450","51663","1"
"454","51667","1"
"45am","1603181","1"
"45mins","1541014114","2"
"45s","51730","1"
"46","1666","4"
"47","1667","8"
"47s","51792","1"
"48","1668","16"
"480m","1604545","1"
"48hrs","49794981","1"
"49","1669","8"
"498","51795","1"
"49th","1607609","2"
"4am","53088","3"
"4ever","51148626","2"
"4f","1714","1"
"4h","1716","1"
"4hrs","1652725","1"
"4k","1719","1"
"4kids","51314849","1"
"4th","53672","24"
"4ward","51665072","1"
"5","53","590"
"50","1691","195"
"500","52469","11"
"5000","1626587","9"
"500000","1563151643","1"
"50c","52520","1"
"50ies","50480732","1"
"50min","50484695","1"
"50mins","1565025660","1"
"50s","52536","39"
"50th","1628751","2"
"51","1692","10"
"52","1693","8"
"5200","1628509","1"
"53","1694","3"
"54","1695","9"
"5400","1630431","1"
"540i","1630488","1"
"55","1696","13"
"5539","1631494","1"
"56","1697","10"
"57","1698","5"
"571","52687","1"
"578","52694","1"
"58","1699","5"
"58th","1636439","1"
"59","1700","3"
"59th","1637400","1"
"5hrs","1682516","1"
"5ive","1683587","2"
"5kph","1685326","1"
"5million","-1057556329","1"
"5s","1758","1"
"5seconds","-150235990","1"
"5th","54633","7"
"5x5","54706","1"
"5years","1632196801","1"
"5yo","54795","1"
"6","54","221"
"60","1722","139"
"600","53430","9"
"6000","1656378","1"
"607","53437","2"
"60ies","51404253","2"
"60ish","51404676","1"
"60s","53497","78"
"60th","1658542","1"
"61","1723","2"
"62","1724","2"
"6200","1658300","1"
"64","1726","7"
"65","1727","13"
"66","1728","6"
"666","53622","9"
"67","1729","2"
"6723","1663170","1"
"67th","1665269","2"
"68","1730","9"
"69","1731","3"
"6b","1772","2"
"6ft","55172","1"
"6th","55594","15"
"6yo","55756","1"
"7","55","387"
"70","1753","168"
"700","54391","14"
"707","54398","1"
"70ies","52327774","1"
"70m","54452","1"
"70mm","1688121","2"
"70s","54458","112"
"70th","1688333","1"
"71","1754","11"
"713","54425","1"
"72","1755","2"
"72nd","1690065","1"
"73","1756","30"
"74","1757","5"
"740","54515","1"
"747","54522","6"
"74th","1692177","2"
"75","1758","24"
"750","54546","6"
"75c","54597","1"
"76","1759","11"
"77","1760","9"
"78","1761","5"
"79","1762","12"
"7days","53869838","1"
"7even","53919185","1"
"7eventy","276732950","2"
"7ft","56133","2"
"7ish","1743079","1"
"7th","56555","5"
"8","56","373"
"80","1784","250"
"800","55352","2"
"8000","1715960","1"
"80ies","53251295","1"
"80s","55419","106"
"81","1785","3"
"819","55392","1"
"82","1786","8"
"8217","1717920","1"
"83","1787","10"
"84","1788","8"
"849","55485","1"
"85","1789","15"
"86","1790","7"
"87","1791","5"
"878","55577","1"
"88","1792","11"
"89","1793","8"
"89or","1726628","1"
"8bit","1765845","1"
"8mm","57304","5"
"8o","1847","1"
"8th","57516","9"
"9","57","321"
"90","1815","198"
"900","56313","4"
"90210","54120282","7"
"90c","56364","1"
"90ish","54175239","1"
"90min","54178779","1"
"90mins","1679542264","2"
"90s","56380","34"
"91","1816","5"
"911","56345","13"
"917","56351","1"
"92","1817","4"
"92fs","1749414","1"
"93","1818","8"
"94","1819","3"
"94th","1751759","1"
"95","1820","31"
"95th","1752720","1"
"96","1821","7"
"97","1822","15"
"974th","54332874","1"
"98","1823","17"
"987","56568","1"
"98minutes","-67656480","1"
"99","1824","49"
"999","56601","13"
"99p","56656","2"
"9mm","58265","2"
"9of10","56047087","1"
"9pm","58358","2"
"9s","1882","1"
"9th","58477","6"
"a","97","65524"
"a1","3056","1"
"aa","3104","2"
"aaaahhhhhhh","-1180294872","1"
"aag","96327","17"
"aahhh","92574536","1"
"aames","92579259","6"
"aamir","92579382","2"
"aan","96334","1"
"aankh","92580395","1"
"aankhen","-1224550380","2"
"aap","96336","1"
"aapke","92582314","4"
"aardman","-1221060152","5"
"aardvarks","-904415299","1"
"aargh","92584115","2"
"aaron","92584369","12"
"aarp","2986590","1"
"aauugghh","903255200","1"
"aaww","2986752","1"
"ab","3105","5"
"aback","92597448","6"
"abadi","92597477","1"
"abahy","92597617","1"
"abandon","-1207841163","22"
"abandoned","-1094184492","78"
"abandoning","440023373","10"
"abandonment","755933523","7"
"abandons","1211629726","4"
"abashidze","-947532357","1"
"abating","-1207657650","1"
"abbad","92598340","1"
"abbas","92598355","3"
"abbey","92598485","4"
"abbot","92598790","12"
"abbott","-1424404690","12"
"abbreviated","-1587267431","4"
"abby","2987064","2"
"abc","96354","47"
"abcd","2987074","1"
"abdicates","1423845982","1"
"abdicating","1189556274","1"
"abdomen","-1205032470","1"
"abdu","2987122","1"
"abduct","-1424339869","3"
"abducted","1303956546","15"
"abductee","1303956547","1"
"abducting","1767951519","2"
"abduction","1767951557","5"
"abductions","-1028076466","1"
"abductor","1303956870","3"
"abductors","1767957421","1"
"abdul","92600890","2"
"abdullah","1304216857","1"
"abe","96356","12"
"abel","2987144","3"
"abercrombie","-303338749","2"
"aberrant","1330244035","1"
"aberystwyth","2075440162","1"
"abets","92601827","1"
"abetted","-1203953277","6"
"abetting","1332158334","1"
"abgail","-1424269538","1"
"abhay","92604127","13"
"abhays","-1424239244","1"
"abhijeet","1407585036","1"
"abhimaan","1407670435","1"
"abhishek","1407856029","4"
"abhorrence","1045612531","1"
"abhorrent","865013443","8"
"abhors","-1424226007","1"
"abi","96360","1"
"abides","-1424207190","1"
"abiding","-1200746138","12"
"abigail","-1200664603","21"
"abigil","-1424204190","1"
"abilities","1658381128","43"
"ability","-1200507606","199"
"abject","-1424176499","2"
"ablaze","-1424120063","1"
"able","2987354","511"
"ably","2987374","15"
"abm","96364","1"
"abnormal","1585146952","4"
"abnormally","-1387165739","1"
"abo","96366","9"
"aboard","-1424030939","15"
"abode","92610927","2"
"abolish","-1194966528","1"
"abolished","-1606562145","2"
"abolition","-1606531073","2"
"abolitionism","-1346511836","1"
"abolitionists","1207806376","2"
"abominable","-1676111234","11"
"abominably","-1676111214","1"
"abomination","-419306927","15"
"abominations","-113612734","3"
"abominator","-1676093830","1"
"abominibal","-1675873240","1"
"aboooot","-1194871501","1"
"aboriginal","-1539775246","10"
"aboriginals","-488392255","1"
"aborigine","-1435143490","3"
"aborigines","-1539775115","8"
"aboriginies","-488384784","1"
"aborigone","-1435137724","1"
"abort","92611376","1"
"aborted","-1194777649","9"
"abortion","1616602840","31"
"abortionist","747020978","1"
"abortionists","1682813953","1"
"abortions","-1424919397","4"
"abortive","1616603048","1"
"abos","2987461","1"
"abound","-1424011843","19"
"abounds","-1194694058","3"
"about","92611469","6951"
"aboutagirly","1443922793","1"
"above","92611485","346"
"abovementioned","-546179828","1"
"abraham","-1192525180","40"
"abrahams","1686425199","3"
"abrams","-1423941706","1"
"abrasive","1686760853","6"
"abrasively","1774512610","1"
"abre","2987540","3"
"abreast","-1192412178","1"
"abridged","1693699706","3"
"abroad","-1423928639","15"
"abrupt","-1423922392","36"
"abruptly","1705152181","24"
"abruptness","-2026217089","3"
"abs","96370","1"
"abscond","-1191534956","2"
"absconded","1691178547","1"
"absence","-1191476675","53"
"absences","1718928854","1"
"absense","-1191476179","1"
"absent","-1423908039","32"
"absentee","1718945177","2"
"absentminded","-2132199190","1"
"absentmindedly","-344017929","1"
"abskani","-1191310077","1"
"absolute","1728122231","145"
"absolutelly","-1283486174","1"
"absolutely","-1426876092","582"
"absolutey","2032181730","1"
"absolution","-1426872166","4"
"absolutley","-1426869582","1"
"absolutly","2032181947","1"
"absolved","1728122726","1"
"absorb","-1423898323","7"
"absorbed","1728282252","28"
"absorbing","2037146517","27"
"absorbs","-1191174938","2"
"absoulely","2040211102","1"
"abstain","-1191042108","2"
"abstinence","-1377115598","1"
"abstract","1732898850","20"
"abstraction","-717153114","1"
"abstractions","-756909939","1"
"absurd","-1423892555","119"
"absurder","1733825314","1"
"absurdism","-2085986130","1"
"absurdist","-2085986123","7"
"absurdities","1117085495","3"
"absurdity","-2085986087","35"
"absurdly","1733825538","12"
"absurdness","-240924788","4"
"abu","96372","7"
"abuelita","1776133787","1"
"abundance","-524397191","18"
"abundant","1784199293","11"
"abundantly","923572938","6"
"abuse","92617158","81"
"abused","-1423835298","28"
"abuser","-1423835284","3"
"abusers","-1189220729","2"
"abuses","-1423835283","3"
"abusing","-1189217021","10"
"abusive","-1189216775","41"
"abusively","-376016570","1"
"abut","2987648","2"
"abuzz","92617396","2"
"abydos","-1423730224","1"
"abysmal","-1185519491","37"
"abysmally","-1117893942","6"
"abyss","92621016","9"
"abyssmal","1903791488","1"
"abysymal","1903970234","1"
"ac","3106","1"
"academia","2089925893","1"
"academic","2089925895","15"
"academics","363193420","2"
"academy","-1179509012","104"
"acc","96385","1"
"accede","-1423461499","1"
"accelerated","961208615","2"
"accelerating","-267299750","1"
"accelerator","961208939","2"
"accent","-1423461174","205"
"accented","-2146584855","6"
"accents","-1177623319","90"
"accentuate","-1283266105","3"
"accentuated","-1126543491","2"
"accentuates","-1126543476","3"
"accentuating","-563105596","2"
"accept","-1423461112","117"
"acceptable","-1226602910","60"
"acceptance","-1226591657","23"
"accepted","-2146525273","48"
"accepting","-2117769766","27"
"acception","-2117769728","1"
"accepts","-1177621397","32"
"access","-1423461020","40"
"accessibility","-213139122","6"
"accessible","-1141400650","22"
"accessorizing","1275398954","1"
"accessory","-2115023086","4"
"accidence","-2014777817","1"
"accident","-2143202801","143"
"accidental","1966413434","22"
"accidentally","-62296697","88"
"accidently","1966413788","1"
"accidents","-2014777276","9"
"acclaim","-1177427622","16"
"acclaimed","-1931542663","28"
"accolade","-2137427516","1"
"accoladed","-1835743456","1"
"accolades","-1835743441","6"
"accommodate","-1971686609","2"
"accommodated","-992742635","1"
"accommodates","-992742620","1"
"accommodating","-710246356","2"
"accompanied","-1898423318","33"
"accompanies","-1898423303","11"
"accompaniment","976535017","7"
"accompany","-1834375653","12"
"accompanying","1278900199","22"
"accomplice","-1030748080","9"
"accomplices","-1888419293","1"
"accomplish","-1030747581","36"
"accomplished","1589023266","41"
"accomplishes","1589023281","7"
"accomplishing","2015085247","2"
"accomplishment","-1956755935","18"
"accomplishments","-529891726","4"
"accordance","-899007473","1"
"accorded","-2137245857","1"
"accordian","-1830108266","2"
"according","-1830107870","108"
"accordingly","-2092035537","2"
"accordion","-1830107832","1"
"accords","-1177322061","1"
"accorsi","-1177321606","1"
"accost","-1423451409","1"
"accosted","-2137200690","2"
"account","-1177318867","80"
"accountability","-2147234211","1"
"accountable","866533639","2"
"accountant","-803330918","9"
"accountants","866545433","1"
"accounted","-1827029108","1"
"accounting","-803323243","5"
"accounts","-2137146394","24"
"accredited","1391568762","1"
"accrued","-1177229789","2"
"accrutements","577134592","1"
"accumulated","121431874","6"
"accumulates","121431889","1"
"accumulation","-530574907","3"
"accumulator","121432198","1"
"accuracies","128331607","1"
"accuracy","-2131707655","35"
"accurate","-2131707148","128"
"accurately","128834433","26"
"accusation","157467510","6"
"accusations","586525629","8"
"accuse","-1423445658","9"
"accused","-1177142338","51"
"accusers","-2131673561","1"
"accuses","-1177142323","7"
"accusing","-2131669853","5"
"accustomed","174868978","14"
"ace","96387","25"
"acerbic","-1175400883","3"
"acetylene","94744376","1"
"acharya","-1173120897","4"
"achcha","-1423314346","1"
"ache","2988191","5"
"acheaology","-1536200638","1"
"ached","92634021","2"
"achieve","-1172895151","75"
"achieved","-2000011213","50"
"achieveing","2134581233","1"
"achievement","1747619631","48"
"achievements","-1658366172","15"
"achievers","-1870804910","1"
"achieves","-2000011198","22"
"achieving","-1870801202","15"
"achilleas","-1864638700","3"
"achilles","-1999812271","16"
"aching","-1423308388","5"
"achingly","-1999757271","9"
"achra","92634421","1"
"acid","2988221","36"
"acidic","-1423283561","4"
"acidity","-1172116783","1"
"aciton","-1423267988","1"
"ack","96393","2"
"acker","92636918","1"
"ackerman","-1917439324","1"
"ackland","-1170039308","13"
"acknowledge","1064297116","15"
"acknowledged","-1366527672","10"
"acknowledgement","1769490938","2"
"acknowledgements","-980355655","1"
"acknowledges","-1366527657","3"
"acknowledging","587319385","1"
"ackroyd","-1169846767","3"
"acl","96394","2"
"aclu","2988331","1"
"acme","2988346","4"
"acne","2988377","2"
"acolyte","-1166321973","1"
"acorn","92641161","3"
"acosta","-1423090061","1"
"acoustic","-1788109629","1"
"acoustics","403176464","2"
"acp","96398","2"
"acquaint","-1731397964","1"
"acquaintance","-411550205","13"
"acquaintances","126845648","8"
"acquainted","-1721096621","10"
"acquart","-1164229923","2"
"acquiesce","-2126455949","1"
"acquire","-1164222250","7"
"acquired","-1731151282","21"
"acquires","-1731151267","1"
"acquiring","-2126077933","1"
"acquit","-1423028879","5"
"acquitane","-2126026041","1"
"acquits","-1164222174","3"
"acquitted","-2126008062","5"
"acre","2988501","8"
"acres","92643646","6"
"acrimonious","-829162665","2"
"acrobat","-1163484714","2"
"acrobatic","-1417309840","1"
"acrobatics","-986931965","7"
"acronym","-1163472445","1"
"across","-1423004545","402"
"act","96402","511"
"acted","92645553","257"
"actess","-1422954573","1"
"acting","-1422950896","2612"
"actings","-1161804701","1"
"actingwise","1817814708","1"
"action","-1422950858","1337"
"actioneers","1852368407","1"
"actioner","-1656171165","8"
"actioners","198301552","2"
"actionmovie","1596535482","1"
"actionpacked","-1974613458","1"
"actions","-1161803523","135"
"actionscenes","-1886816483","1"
"activated","204392913","2"
"activates","204392928","1"
"activating","2041217264","1"
"active","-1422950650","31"
"actively","-1655971053","13"
"activest","-1655970841","1"
"activism","-1655967004","5"
"activist","-1655966997","11"
"activists","204630760","3"
"activities","2048605165","35"
"activity","-1655966961","24"
"actor","92645877","951"
"actores","-1161622173","1"
"actors","-1422944994","1773"
"actress","-1161544859","518"
"actresses","446890707","128"
"acts","2988577","154"
"actual","-1422939762","298"
"actualities","1434457342","1"
"actuality","528866400","13"
"actually","-1645507685","1732"
"actuelly","-1645388521","1"
"actullly","-1645179984","1"
"acuity","-1422920901","1"
"acumen","-1422917533","2"
"acupat","-1422914768","1"
"acurately","1330716864","1"
"acus","2988608","1"
"acute","92646980","5"
"acutely","-1160561967","2"
"ad","3107","55"
"ada","96414","14"
"adage","92657148","4"
"adagio","-1422595473","1"
"adair","92657223","2"
"adam","2988943","135"
"adama","92657330","5"
"adamant","-1150615560","2"
"adamantium","145946057","1"
"adamantly","-1934954619","1"
"adames","-1422589827","1"
"adamos","-1422589517","1"
"adams","92657348","48"
"adamson","-1150598237","4"
"adapt","92657442","13"
"adaptable","-1831924868","2"
"adaptation","-954562285","201"
"adaptations","473340352","37"
"adapted","-1150508223","56"
"adapter","-1150508209","2"
"adapters","-1306015996","1"
"adapting","-1306012288","10"
"adaption","-1306012250","27"
"adaptions","-1831673971","1"
"adapts","-1422586479","5"
"add","96417","326"
"addario","-1148186312","1"
"added","92659968","190"
"addendum","-1230466894","2"
"addict","-1422504359","25"
"addicted","-1227085640","36"
"addicting","615055081","2"
"addiction","615055119","26"
"addictions","1886839620","5"
"addictive","615055327","10"
"addicts","-1147962054","7"
"adding","-1422504031","64"
"addio","92660103","1"
"addison","-1147946838","6"
"addition","-1226589444","133"
"additional","-1931413465","29"
"additionally","-662464524","26"
"additions","630433015","5"
"additive","-1226589236","1"
"additives","630439463","1"
"addled","-1422501430","4"
"addons","-1422498253","1"
"address","-1147692044","27"
"addressed","874544019","21"
"addresses","874544034","10"
"addressing","1341065070","16"
"adds","2989042","127"
"addy","2989048","6"
"ade","96418","2"
"adela","92661143","3"
"adelaide","-1195756109","17"
"adele","92661147","36"
"adell","92661154","1"
"adelle","-1422471421","2"
"ademir","-1422470540","1"
"aden","2989068","1"
"adept","92661286","15"
"adeptly","-1146813901","3"
"adequate","-1190549876","46"
"adequately","-1657126631","16"
"adgth","92663320","1"
"adhd","2989151","1"
"adhere","-1422388589","2"
"adhered","-1144373199","1"
"adherence","-231003683","3"
"adheres","-1144373184","3"
"adi","96422","1"
"adiego","-1422359129","1"
"adieu","92664790","3"
"adios","92665098","1"
"aditiya","-1143010845","1"
"aditya","-1422344170","13"
"adjacent","-1062713022","4"
"adjani","-1422332971","5"
"adjective","1530593513","5"
"adjectives","203758762","5"
"adjoining","1822247157","2"
"adjurdubois","-178168628","1"
"adjust","-1422313585","6"
"adjusted","-1043751826","5"
"adjuster","-1043751812","1"
"adjustin","-1043751692","1"
"adjusting","2003436019","3"
"adjustment","1977085293","4"
"adjustments","1160102054","1"
"adjusts","-1142048060","2"
"adlai","92667537","1"
"adler","92667670","2"
"adman","92668503","2"
"administered","117136231","1"
"administration","1255702622","12"
"administrations","272075733","1"
"administrative","1255702830","2"
"administrator","-652229939","2"
"administrators","1255708486","2"
"admira","-1422235794","1"
"admirable","25933613","30"
"admirably","25933633","11"
"admiral","-1139636546","5"
"admiralty","25943491","1"
"admiration","804475778","18"
"admire","-1422235790","47"
"admired","-1139636430","21"
"admirer","-1139636416","14"
"admirers","-968990413","7"
"admires","-1139636415","9"
"admiring","-968986705","6"
"admissible","849393777","1"
"admission","27400201","19"
"admit","92668757","243"
"admitedly","27901761","1"
"admits","-1422235714","20"
"admitt","-1422235713","1"
"admittadly","878710063","1"
"admittance","878719374","3"
"admitted","-968916834","18"
"admittedly","878829227","60"
"admitting","28353475","11"
"admittingly","1477889168","1"
"admonishing","2008899565","2"
"admonition","1727402132","1"
"adnausem","-947647012","1"
"ado","96428","2"
"adolescence","-1665641344","7"
"adolescent","-1993393002","32"
"adolescents","-1665640803","10"
"adolf","92670758","12"
"adolph","-1422173384","6"
"adolphe","-1137701843","1"
"adolphs","-1137701829","1"
"adone","92670819","1"
"adopt","92670896","16"
"adopted","-1137578929","34"
"adopter","-1137578915","1"
"adopting","-905204174","3"
"adoption","-905204136","5"
"adoptive","-905203928","4"
"adopts","-1422169405","7"
"adorable","-903929952","44"
